transaction_id,user_id,product_id,purchase_date,quantity,amount,discount_amount,payment_method,order_status
T00082,U01903,P0072,2024-10-17 21:01:02,1,720.0,180.0,Card,Success
T00083,U09426,P0022,2024-05-04 00:07:18,1,8190.0,910.0,NetBanking,Success
T00084,U08981,P0115,2024-04-11 22:35:33,1,760.0,40.0,Card,Success
T00085,U06600,P0003,2024-08-03 11:05:08,1,2300.0,0.0,UPI,Success
T00086,U03399,P0112,2024-04-14 08:01:07,1,400.0,0.0,Card,Success
T00087,U06388,P0120,2024-04-15 22:36:42,1,630.0,70.0,Card,Success
T00088,U03591,P0005,2023-05-04 09:09:26,1,1120.0,280.0,Wallet,Refunded
T00089,U06972,P0033,2024-09-27 22:01:27,2,12000.0,0.0,Card,Success
T00090,U03251,P0183,2024-09-26 08:54:58,1,2500.0,0.0,Card,Success
T00091,U03315,P0005,2024-04-01 11:17:58,2,2660.0,140.0,UPI,Success
T00092,U04776,P0191,2024-11-09 14:02:08,2,3000.0,0.0,Wallet,Success
T00093,U09418,P0027,2024-11-11 22:00:10,1,4400.0,0.0,NetBanking,Success
T00094,U07265,P0146,2024-03-08 23:33:18,1,4400.0,0.0,UPI,Success
T00095,U02858,P0089,2024-06-17 19:25:14,1,360.0,40.0,UPI,Success
T00096,U09040,P0026,2024-10-28 15:32:08,1,4100.0,0.0,UPI,Success
T00097,U00307,P0073,2024-08-14 15:47:29,1,270.0,30.0,UPI,Success
T00098,U07457,P0185,2024-04-23 12:42:05,1,1330.0,70.0,Card,Refunded
T00099,U08631,P0060,2023-02-05 12:09:52,1,475.0,25.0,Wallet,Success
T00100,U08762,P0115,2024-10-08 18:40:39,1,680.0,120.0,Wallet,Success
T00101,U05227,P0127,2024-12-18 19:42:07,1,950.0,50.0,UPI,Success
T00102,U09361,P0099,2024-09-07 22:58:17,2,540.0,60.0,UPI,Refunded
T00103,U02073,P0094,2024-10-02 08:56:38,1,300.0,0.0,UPI,Success
T00104,U02753,P0185,2024-05-11 23:58:21,3,3780.0,420.0,UPI,Success
T00105,U04412,P0173,2024-11-28 08:02:01,1,3400.0,0.0,UPI,Success
T00106,U05311,P0188,2023-10-07 08:03:04,1,2325.0,775.0,UPI,Success
T00107,U06858,P0050,2023-12-13 22:03:05,1,7030.0,370.0,UPI,Success
T00108,U07822,P0031,2024-08-02 06:38:40,1,2590.0,1110.0,Card,Refunded
T00109,U02811,P0107,2024-08-02 10:33:39,1,540.0,60.0,NetBanking,Success
T00110,U04590,P0054,2024-03-28 16:07:29,1,540.0,60.0,NetBanking,Success
T00111,U01157,P0199,2024-05-02 07:59:31,1,1800.0,0.0,Card,Success
T00112,U06463,P0190,2024-12-20 17:04:25,1,3895.0,205.0,Card,Success
T00113,U09236,P0189,2024-03-01 09:17:45,1,3780.0,420.0,UPI,Success
T00114,U09570,P0190,2024-11-24 07:19:33,1,3485.0,615.0,UPI,Success
T00115,U02897,P0003,2024-12-24 16:29:43,1,1725.0,575.0,Wallet,Success
T00116,U06820,P0139,2024-12-07 13:48:07,1,1170.0,130.0,UPI,Success
T00117,U06492,P0035,2024-12-07 17:16:29,1,7695.0,405.0,UPI,Success
T00118,U06778,P0166,2024-04-11 08:43:22,1,4900.0,0.0,Wallet,Success
T00119,U05770,P0022,2024-10-14 17:24:15,1,8645.0,455.0,UPI,Success
T00120,U08487,P0061,2024-03-16 15:59:06,1,560.0,140.0,UPI,Success
T00121,U04417,P0089,2024-05-08 09:19:55,2,720.0,80.0,UPI,Success
T00122,U01335,P0003,2023-11-28 07:40:14,1,2070.0,230.0,Card,Success
T00123,U04013,P0046,2024-09-05 08:15:22,1,4700.0,0.0,Card,Success
T00124,U03338,P0171,2023-03-18 16:25:32,1,3600.0,400.0,UPI,Success
T00125,U05952,P0153,2024-07-30 15:23:43,3,8100.0,900.0,Card,Success
T00126,U01012,P0052,2024-10-31 08:31:27,1,180.0,20.0,NetBanking,Success
T00127,U07415,P0080,2024-06-04 17:17:36,1,500.0,0.0,Wallet,Success
T00128,U00154,P0096,2023-09-14 07:06:20,1,630.0,70.0,UPI,Success
T00129,U01652,P0152,2024-08-10 21:32:43,1,1600.0,0.0,Card,Success
T00130,U07596,P0098,2024-10-12 12:05:28,1,900.0,0.0,UPI,Success
T00131,U03151,P0185,2024-04-18 18:40:57,1,1400.0,0.0,Wallet,Success
T00132,U06490,P0194,2024-04-23 13:38:55,1,320.0,80.0,Wallet,Success
T00133,U05675,P0045,2023-05-27 00:09:02,2,7480.0,1320.0,Card,Success
T00134,U03142,P0045,2024-11-20 16:02:14,1,3960.0,440.0,Wallet,Success
T00135,U01970,P0070,2024-02-05 18:11:10,1,760.0,40.0,NetBanking,Success
T00136,U08100,P0200,2024-10-13 06:31:06,1,3610.0,190.0,UPI,Success
T00137,U00505,P0162,2024-10-09 21:39:06,1,1700.0,0.0,UPI,Success
T00138,U04381,P0061,2024-11-07 16:50:14,1,700.0,0.0,Wallet,Refunded
T00139,U06119,P0100,2024-11-06 18:19:41,3,765.0,135.0,Wallet,Success
T00140,U01731,P0189,2024-11-19 20:00:20,1,3780.0,420.0,UPI,Success
T00141,U02923,P0088,2023-04-08 12:59:48,1,810.0,90.0,UPI,Success
T00142,U08279,P0198,2024-09-25 17:18:08,1,1200.0,300.0,Card,Success
T00143,U01607,P0020,2024-02-27 17:29:38,1,4700.0,0.0,UPI,Success
T00144,U08696,P0180,2024-12-02 11:36:30,1,3040.0,760.0,UPI,Success
T00145,U02649,P0193,2024-12-14 22:57:15,1,4505.0,795.0,UPI,Success
T00146,U03794,P0074,2024-03-16 12:13:34,1,525.0,175.0,Wallet,Success
T00147,U05148,P0142,2024-12-02 20:38:47,1,2880.0,320.0,Wallet,Failed
T00148,U06591,P0003,2024-02-05 19:11:21,1,2300.0,0.0,Card,Success
T00149,U08107,P0195,2024-04-18 22:20:35,2,14450.0,2550.0,UPI,Success
T00150,U05887,P0191,2024-10-06 12:48:50,3,4050.0,450.0,UPI,Success
T00151,U03647,P0002,2024-04-18 15:51:29,1,3600.0,900.0,NetBanking,Success
T00152,U09944,P0145,2024-08-22 13:58:30,1,900.0,0.0,UPI,Success
T00153,U02679,P0064,2024-10-11 06:33:56,3,1500.0,0.0,Card,Success
T00154,U03546,P0092,2023-11-10 13:08:52,1,720.0,80.0,NetBanking,Success
T00155,U00707,P0172,2024-12-05 18:42:36,1,1020.0,180.0,Wallet,Success
T00156,U01554,P0169,2024-07-13 22:14:25,1,1900.0,0.0,Card,Success
T00157,U08759,P0110,2024-07-19 23:51:00,1,1235.0,65.0,UPI,Success
T00158,U08964,P0074,2023-06-23 23:19:16,1,595.0,105.0,UPI,Refunded
T00159,U08159,P0116,2023-03-10 18:00:44,1,1520.0,80.0,UPI,Success
T00160,U02944,P0179,2024-08-06 22:52:50,2,3400.0,600.0,Card,Success
T00161,U07540,P0067,2022-03-23 00:00:20,2,600.0,0.0,Card,Success
T00162,U09742,P0126,2024-10-02 22:57:49,1,1300.0,0.0,UPI,Success
T00163,U00802,P0046,2024-12-26 10:19:58,1,3290.0,1410.0,UPI,Refunded
T00164,U00013,P0120,2024-08-16 12:43:50,1,560.0,140.0,UPI,Success
T00165,U03576,P0135,2024-04-08 23:17:31,1,1700.0,300.0,Card,Success
T00166,U06815,P0149,2024-11-22 18:29:49,1,4900.0,0.0,Card,Refunded
T00167,U03368,P0190,2024-04-19 18:02:41,1,3895.0,205.0,UPI,Success
T00168,U09774,P0105,2022-12-24 20:02:12,1,2300.0,0.0,UPI,Success
T00169,U00472,P0111,2024-06-06 23:18:50,1,990.0,110.0,UPI,Success
T00170,U09093,P0035,2024-05-14 09:22:01,1,8100.0,0.0,Wallet,Success
T00171,U08870,P0102,2024-05-26 10:39:16,1,1400.0,0.0,Wallet,Success
T00172,U03840,P0031,2024-07-09 07:04:13,2,6290.0,1110.0,Card,Success
T00173,U09427,P0046,2024-06-17 17:39:38,1,3525.0,1175.0,Card,Success
T00174,U06958,P0144,2024-10-16 09:25:11,1,4700.0,0.0,UPI,Success
T00175,U01690,P0168,2024-09-12 11:02:29,1,425.0,75.0,UPI,Success
T00176,U09173,P0026,2022-07-25 20:28:53,1,3690.0,410.0,Wallet,Success
T00177,U01808,P0045,2024-09-29 11:04:09,3,13200.0,0.0,UPI,Success
T00178,U01507,P0154,2024-10-10 18:26:04,1,2040.0,360.0,Card,Success
T00179,U02091,P0072,2024-11-25 15:14:12,1,900.0,0.0,Wallet,Success
T00180,U08062,P0176,2023-03-30 07:10:07,1,3700.0,0.0,NetBanking,Failed
T00181,U03308,P0060,2024-12-15 17:38:38,1,475.0,25.0,NetBanking,Success
T00182,U08318,P0199,2024-09-03 11:05:40,3,5400.0,0.0,Card,Success
T00183,U04370,P0135,2024-09-04 23:58:12,1,1900.0,100.0,Card,Success
T00184,U05297,P0169,2024-03-17 13:22:50,1,1805.0,95.0,Card,Success
T00185,U01949,P0183,2024-07-22 07:31:55,3,7125.0,375.0,Wallet,Success
T00186,U00681,P0066,2024-04-22 13:42:11,1,270.0,30.0,Wallet,Success
T00187,U07435,P0199,2024-11-20 00:27:28,1,1800.0,0.0,Card,Success
T00188,U03233,P0096,2024-12-22 22:29:07,1,630.0,70.0,UPI,Success
T00189,U02753,P0185,2024-05-11 23:28:21,1,1120.0,280.0,Wallet,Success
T00190,U01297,P0009,2024-03-18 21:20:10,1,6700.0,0.0,UPI,Success
T00191,U01756,P0073,2024-12-28 15:18:30,1,300.0,0.0,UPI,Success
T00192,U00651,P0091,2023-04-12 22:55:57,1,285.0,15.0,Card,Success
T00193,U09603,P0002,2024-08-10 23:52:29,1,4500.0,0.0,Card,Success
T00194,U02547,P0089,2024-10-27 10:01:21,2,800.0,0.0,UPI,Success
T00195,U02649,P0103,2024-12-14 07:31:20,1,1050.0,350.0,Card,Success
T00196,U04247,P0138,2024-11-24 07:41:40,1,1360.0,240.0,UPI,Success
T00197,U04705,P0091,2024-07-19 12:40:02,2,600.0,0.0,NetBanking,Success
T00198,U01153,P0192,2024-05-16 07:57:49,1,475.0,25.0,UPI,Success
T00199,U08241,P0082,2023-10-27 09:05:48,1,200.0,0.0,Card,Success
T00200,U01756,P0126,2024-12-29 18:35:36,1,1300.0,0.0,UPI,Success
T00201,U02313,P0118,2024-06-11 12:46:15,1,1600.0,400.0,UPI,Success
T00202,U01765,P0068,2024-10-08 12:10:20,1,810.0,90.0,UPI,Success
T00203,U05364,P0029,2023-04-03 23:02:10,1,1700.0,0.0,UPI,Failed
T00204,U05986,P0031,2024-07-18 10:20:27,1,3700.0,0.0,Card,Success
T00205,U01357,P0037,2024-07-02 21:13:50,1,5490.0,610.0,Wallet,Success
T00206,U01383,P0090,2024-08-12 18:27:52,1,270.0,30.0,UPI,Success
T00207,U03107,P0157,2023-09-11 12:26:53,2,2700.0,900.0,NetBanking,Success
T00208,U06682,P0078,2023-07-27 23:24:08,2,480.0,120.0,Card,Success
T00209,U04553,P0155,2024-11-09 11:11:15,2,7980.0,420.0,UPI,Success
T00210,U09840,P0174,2022-11-29 13:53:48,1,3800.0,200.0,UPI,Success
T00211,U09366,P0104,2023-03-11 22:11:13,1,2000.0,0.0,Card,Success
T00212,U04667,P0040,2024-03-21 23:46:04,2,6000.0,0.0,UPI,Refunded
T00213,U02910,P0129,2024-09-16 07:05:16,1,1350.0,450.0,UPI,Success
T00214,U02810,P0196,2023-05-16 16:27:42,3,7695.0,405.0,UPI,Success
T00215,U05614,P0145,2024-09-05 12:42:46,1,810.0,90.0,Card,Refunded
T00216,U04192,P0006,2024-09-01 13:15:39,1,3900.0,0.0,UPI,Success
T00217,U09109,P0009,2024-01-01 07:24:57,1,5025.0,1675.0,Card,Success
T00218,U04105,P0116,2024-12-28 23:14:39,2,2560.0,640.0,Card,Success
T00219,U01709,P0029,2023-09-29 13:38:24,3,4335.0,765.0,UPI,Success
T00220,U01593,P0087,2024-05-27 17:09:01,1,190.0,10.0,UPI,Success
T00221,U09538,P0009,2024-09-10 15:05:58,1,6030.0,670.0,Card,Success
T00222,U04401,P0089,2024-09-19 06:48:28,1,400.0,0.0,UPI,Success
T00223,U09272,P0064,2024-12-16 17:48:01,1,475.0,25.0,UPI,Success
T00224,U03278,P0168,2024-12-02 18:21:37,1,475.0,25.0,UPI,Success
T00225,U05793,P0141,2024-06-14 08:06:08,2,5740.0,2460.0,Card,Success
T00226,U04200,P0143,2024-04-26 16:54:54,1,3510.0,390.0,Card,Success
T00227,U01842,P0003,2024-09-24 15:17:57,1,2300.0,0.0,Card,Success
T00228,U07318,P0054,2024-07-03 17:26:14,1,570.0,30.0,Card,Success
T00229,U07003,P0075,2024-07-16 16:21:21,2,1000.0,0.0,NetBanking,Success
T00230,U09494,P0012,2024-09-09 22:59:11,2,8480.0,2120.0,Wallet,Refunded
T00231,U03782,P0014,2024-04-09 07:01:29,2,16530.0,870.0,UPI,Success
T00232,U01892,P0054,2024-10-29 22:39:16,1,540.0,60.0,UPI,Success
T00233,U01054,P0109,2024-08-05 07:05:17,1,1200.0,0.0,Card,Success
T00234,U03437,P0078,2024-09-15 14:01:24,1,270.0,30.0,Wallet,Success
T00235,U05395,P0048,2023-08-17 21:10:00,1,3040.0,160.0,UPI,Success
T00236,U00101,P0198,2022-06-01 15:19:58,1,1200.0,300.0,Wallet,Success
T00237,U00505,P0194,2022-05-19 15:01:18,3,1080.0,120.0,UPI,Success
T00238,U09587,P0092,2024-05-18 15:50:25,1,640.0,160.0,Wallet,Success
T00239,U08903,P0094,2024-07-04 17:57:42,3,855.0,45.0,UPI,Success
T00240,U08185,P0196,2023-12-10 14:41:17,1,2565.0,135.0,UPI,Success
T00241,U06400,P0039,2024-07-23 07:45:09,1,1600.0,0.0,NetBanking,Success
T00242,U07081,P0021,2024-11-30 08:07:55,1,1870.0,330.0,Card,Success
T00243,U05388,P0032,2024-10-16 19:53:15,1,4500.0,500.0,UPI,Success
T00244,U09978,P0158,2024-09-23 20:48:35,1,1125.0,375.0,UPI,Success
T00245,U08630,P0029,2024-07-22 15:17:21,1,1445.0,255.0,UPI,Refunded
T00246,U06393,P0099,2023-06-01 08:22:29,1,285.0,15.0,Card,Success
T00247,U09556,P0024,2023-03-14 21:32:35,1,9405.0,495.0,UPI,Success
T00248,U02442,P0161,2024-02-26 19:28:53,1,1900.0,100.0,UPI,Success
T00249,U01452,P0048,2023-03-21 16:10:49,2,6080.0,320.0,UPI,Success
T00250,U04816,P0020,2024-10-24 10:52:22,1,4465.0,235.0,Card,Success
T00251,U01218,P0005,2024-09-21 22:07:29,2,2800.0,0.0,UPI,Refunded
T00252,U03926,P0157,2024-06-22 17:50:24,1,1800.0,0.0,NetBanking,Success
T00253,U00795,P0039,2024-06-10 15:19:19,1,1520.0,80.0,UPI,Success
T00254,U02694,P0164,2024-01-24 07:32:32,1,900.0,0.0,UPI,Success
T00255,U00843,P0091,2023-11-10 18:27:53,1,270.0,30.0,Card,Success
T00256,U02373,P0086,2024-03-04 07:05:07,1,450.0,50.0,Wallet,Success
T00257,U01003,P0043,2024-09-28 07:56:41,1,5600.0,2400.0,UPI,Success
T00258,U09046,P0063,2024-03-19 18:31:16,1,240.0,60.0,Card,Success
T00259,U05518,P0040,2024-05-25 09:52:45,1,3000.0,0.0,Card,Success
T00260,U08387,P0066,2024-02-12 15:43:28,1,285.0,15.0,Card,Success
T00261,U06069,P0119,2024-02-26 13:29:59,1,1995.0,105.0,Card,Success
T00262,U09961,P0081,2024-12-05 07:40:59,1,765.0,135.0,Wallet,Success
T00263,U03399,P0112,2024-04-14 08:28:07,1,360.0,40.0,UPI,Success
T00264,U01929,P0142,2024-04-06 21:27:16,1,2560.0,640.0,UPI,Success
T00265,U08232,P0019,2024-11-14 16:07:13,1,1710.0,90.0,Wallet,Success
T00266,U04665,P0018,2024-04-19 12:43:56,1,5320.0,280.0,Card,Success
T00267,U00398,P0019,2023-09-15 07:28:18,1,1620.0,180.0,Card,Success
T00268,U07620,P0064,2024-04-17 23:20:00,1,475.0,25.0,UPI,Success
T00269,U08106,P0200,2024-03-20 11:56:33,3,9690.0,1710.0,Card,Success
T00270,U08307,P0013,2023-07-10 11:56:09,1,1650.0,550.0,Card,Success
T00271,U05148,P0142,2024-12-02 20:33:47,1,2720.0,480.0,Wallet,Success
T00272,U07424,P0183,2024-03-24 18:54:40,1,2375.0,125.0,NetBanking,Failed
T00273,U07936,P0113,2023-03-05 08:32:00,1,935.0,165.0,UPI,Refunded
T00274,U08671,P0026,2024-06-07 12:35:05,1,4100.0,0.0,UPI,Success
T00275,U07700,P0012,2024-11-24 18:24:00,1,5035.0,265.0,Card,Success
T00276,U00905,P0091,2024-08-14 19:01:52,1,270.0,30.0,UPI,Refunded
T00277,U05536,P0191,2024-06-07 21:41:28,1,1350.0,150.0,Card,Success
T00278,U07581,P0159,2024-04-16 09:58:02,1,2960.0,740.0,Card,Failed
T00279,U08083,P0083,2024-07-03 23:31:32,1,680.0,120.0,Wallet,Success
T00280,U05253,P0147,2024-05-16 09:53:04,2,1680.0,720.0,UPI,Success
T00281,U07564,P0090,2024-01-20 20:32:30,1,300.0,0.0,UPI,Success
T00282,U07001,P0188,2024-02-19 19:25:49,1,3100.0,0.0,Card,Success
T00283,U00655,P0052,2024-03-27 18:14:52,1,170.0,30.0,Card,Success
T00284,U08994,P0054,2024-05-26 10:57:47,1,540.0,60.0,UPI,Success
T00285,U04423,P0024,2023-05-11 20:10:09,1,8415.0,1485.0,UPI,Success
T00286,U03483,P0105,2024-10-23 09:42:23,1,2300.0,0.0,Card,Success
T00287,U09856,P0149,2024-10-14 15:17:38,1,3675.0,1225.0,UPI,Success
T00288,U05795,P0111,2024-03-18 08:59:32,1,770.0,330.0,UPI,Success
T00289,U07651,P0147,2023-12-16 18:05:17,1,900.0,300.0,NetBanking,Success
T00290,U02923,P0124,2023-03-01 23:19:21,1,630.0,70.0,NetBanking,Success
T00291,U08396,P0124,2024-12-08 12:38:05,1,700.0,0.0,Card,Success
T00292,U06815,P0149,2024-11-22 17:41:49,1,3675.0,1225.0,Card,Failed
T00293,U08596,P0188,2023-11-06 13:34:16,1,2635.0,465.0,Card,Success
T00294,U06839,P0181,2024-12-24 00:06:59,3,6600.0,0.0,UPI,Success
T00295,U04997,P0180,2024-03-28 14:21:01,1,3040.0,760.0,Card,Success
T00296,U00084,P0161,2023-02-15 16:22:07,1,2000.0,0.0,Card,Success
T00297,U02238,P0189,2023-12-09 22:46:03,2,7980.0,420.0,UPI,Success
T00298,U01751,P0110,2023-08-11 16:04:35,1,1170.0,130.0,Wallet,Success
T00299,U00630,P0037,2024-12-01 07:03:57,1,4880.0,1220.0,Wallet,Success
T00300,U04458,P0052,2024-06-17 23:50:53,1,190.0,10.0,Card,Success
T00301,U03823,P0187,2024-05-21 10:09:03,1,2480.0,620.0,Wallet,Success
T00302,U05883,P0012,2023-09-16 21:08:48,1,4770.0,530.0,Card,Success
T00303,U04233,P0066,2024-06-21 22:18:29,1,255.0,45.0,UPI,Success
T00304,U02390,P0183,2024-04-21 17:57:23,1,2375.0,125.0,Card,Success
T00305,U04274,P0117,2024-06-10 21:53:34,1,500.0,0.0,UPI,Success
T00306,U00813,P0170,2024-08-15 23:12:04,1,4900.0,0.0,NetBanking,Success
T00307,U03151,P0185,2024-04-18 18:25:57,3,4200.0,0.0,Card,Success
T00308,U09066,P0192,2022-09-13 17:33:07,1,500.0,0.0,Card,Success
T00309,U01826,P0049,2023-11-23 13:53:29,1,7650.0,1350.0,Wallet,Success
T00310,U03485,P0094,2024-04-28 17:14:53,1,285.0,15.0,Card,Success
T00311,U08594,P0124,2024-08-15 18:33:41,1,700.0,0.0,Wallet,Success
T00312,U08395,P0114,2024-07-16 08:54:22,1,490.0,210.0,Card,Success
T00313,U01365,P0171,2024-12-23 13:32:24,2,7200.0,800.0,Wallet,Success
T00314,U04341,P0136,2024-11-19 12:47:31,1,420.0,180.0,Card,Success
T00315,U03278,P0168,2024-12-02 18:59:37,1,450.0,50.0,Card,Success
T00316,U00866,P0035,2024-10-05 09:53:31,1,6885.0,1215.0,Wallet,Success
T00317,U06820,P0139,2024-12-07 13:22:07,1,1235.0,65.0,UPI,Success
T00318,U00126,P0099,2024-06-22 20:44:46,1,285.0,15.0,NetBanking,Success
T00319,U07763,P0144,2023-12-14 15:58:02,1,3760.0,940.0,Card,Success
T00320,U08655,P0025,2024-06-18 09:33:37,1,6525.0,2175.0,NetBanking,Success
T00321,U04573,P0159,2023-04-20 13:06:44,2,7030.0,370.0,UPI,Success
T00322,U06172,P0070,2023-06-18 07:17:02,2,1440.0,160.0,Card,Success
T00323,U08512,P0083,2023-09-05 21:33:51,1,800.0,0.0,Wallet,Success
T00324,U02245,P0143,2024-10-17 11:17:41,1,3120.0,780.0,Card,Success
