user_id,signup_date,country,city,age_group,gender,device_type,acquisition_source
U00110,2023-11-15,India,Ahmedabad,35-44,Male,Desktop,Social
U00111,2024-10-17,India,Mumbai,18-24,Female,Desktop,Organic
U00112,2022-03-02,India,Delhi,18-24,Male,Mobile,Paid Ads
U00113,2022-05-12,USA,Chicago,25-34,Male,Mobile,Referral
U00114,2024-10-03,India,Hyderabad,35-44,Male,Mobile,Social
U00115,2024-05-07,USA,Houston,25-34,Male,Mobile,Paid Ads
U00116,2024-09-06,India,Hyderabad,35-44,Male,Desktop,Paid Ads
U00117,2023-11-14,UK,Birmingham,35-44,Male,Desktop,Paid Ads
U00118,2023-12-23,India,Chennai,45-60,Male,Mobile,Paid Ads
U00119,2023-10-27,USA,Houston,25-34,Female,Mobile,Social
U00120,2023-11-05,India,Chennai,25-34,Female,Mobile,Paid Ads
U00121,2024-04-04,India,Kolkata,35-44,Female,Mobile,Paid Ads
U00122,2024-01-15,Canada,Edmonton,25-34,Male,Desktop,Referral
U00123,2024-10-07,UK,Leeds,25-34,Female,Mobile,Social
U00124,2023-05-03,India,Chennai,18-24,Male,Mobile,Paid Ads
U00125,2024-01-13,UK,Birmingham,45-60,Male,Desktop,Paid Ads
U00126,2024-06-10,USA,Philadelphia,25-34,Male,Desktop,Social
U00127,2024-12-23,USA,Houston,18-24,Male,Mobile,Social
U00128,2024-10-02,USA,Chicago,35-44,Male,Desktop,Organic
U00129,2023-10-12,Australia,Brisbane,25-34,Male,Mobile,Social
U00130,2023-07-28,India,Pune,45-60,Male,Desktop,Organic
U00131,2023-01-24,India,Hyderabad,25-34,Female,Mobile,Paid Ads
U00132,2024-10-28,India,Delhi,35-44,Male,Mobile,Referral
U00133,2022-04-22,Canada,Edmonton,25-34,Other,Desktop,Organic
U00134,2022-09-12,Australia,Melbourne,35-44,Female,Mobile,Organic
U00135,2022-01-19,Canada,Montreal,45-60,Female,Mobile,Organic
U00136,2022-09-19,Canada,Toronto,35-44,Female,Mobile,Paid Ads
U00137,2024-08-21,Germany,Stuttgart,35-44,Male,Mobile,Organic
U00138,2024-05-03,UK,Leeds,18-24,Other,Mobile,Paid Ads
U00139,2024-06-06,UK,Bristol,45-60,Female,Mobile,Social
U00140,2022-07-02,Germany,Stuttgart,35-44,Male,Mobile,Social
U00141,2024-04-24,India,Bangalore,45-60,Male,Mobile,Organic
U00142,2024-06-13,USA,Los Angeles,35-44,Male,Desktop,Social
U00143,2023-07-27,UK,Manchester,18-24,Female,Mobile,Organic
U00144,2024-11-28,Australia,Gold Coast,35-44,Male,Desktop,Paid Ads
U00145,2023-06-27,Australia,Perth,18-24,Female,Mobile,Referral
U00146,2024-11-09,Canada,Montreal,35-44,Female,Desktop,Organic
U00147,2024-12-13,Australia,Gold Coast,25-34,Male,Mobile,Organic
U00148,2022-06-23,USA,Phoenix,18-24,Female,Mobile,Organic
U00149,2023-02-14,India,Pune,45-60,Female,Desktop,Referral
U00150,2024-05-19,India,Delhi,45-60,Male,Mobile,Organic
U00151,2024-03-11,USA,San Antonio,45-60,Male,Mobile,Organic
U00152,2024-07-14,USA,Los Angeles,35-44,Female,Mobile,Paid Ads
U00153,2024-04-16,USA,Chicago,35-44,Female,Mobile,Organic
U00154,2023-01-10,USA,Los Angeles,35-44,Female,Desktop,Organic
U00155,2022-12-20,Australia,Brisbane,18-24,Male,Desktop,Organic
U00156,2024-12-16,India,Bangalore,45-60,Male,Mobile,Paid Ads
U00157,2022-06-28,Canada,Montreal,45-60,Other,Mobile,Paid Ads
U00158,2024-06-26,Australia,Sydney,35-44,Female,Mobile,Social
U00159,2024-07-02,USA,Philadelphia,45-60,Male,Mobile,Organic
U00160,2024-11-25,USA,Phoenix,25-34,Female,Mobile,Paid Ads
U00161,2023-08-16,UK,Manchester,25-34,Female,Desktop,Paid Ads
U00162,2024-03-14,UK,Birmingham,45-60,Male,Mobile,Organic
U00163,2024-06-21,India,Mumbai,25-34,Female,Desktop,Paid Ads
U00164,2024-10-28,India,Mumbai,35-44,Male,Mobile,Social
U00165,2024-02-18,India,Pune,25-34,Female,Desktop,Referral
U00166,2023-09-26,India,Bangalore,35-44,Male,Mobile,Paid Ads
U00167,2024-02-06,India,Ahmedabad,35-44,Male,Mobile,Social
U00168,2024-03-07,India,Delhi,35-44,Female,Desktop,Social
U00169,2023-12-13,USA,San Antonio,25-34,Female,Mobile,Referral
U00170,2022-10-02,Germany,Berlin,25-34,Female,Mobile,Social
U00171,2022-12-15,UK,Leeds,35-44,Male,Mobile,Organic
U00172,2022-12-17,Australia,Brisbane,45-60,Female,Mobile,Organic
U00173,2022-02-13,Canada,Calgary,18-24,Male,Mobile,Social
U00174,2024-09-07,UK,Liverpool,18-24,Female,Mobile,Paid Ads
U00175,2022-01-01,USA,Houston,18-24,Female,Mobile,Organic
U00176,2023-05-03,India,Chennai,45-60,Male,Mobile,Social
U00177,2024-01-20,Canada,Vancouver,35-44,Male,Tablet,Referral
U00178,2022-05-18,Australia,Sydney,45-60,Other,Desktop,Paid Ads
U00179,2024-08-07,USA,Chicago,25-34,Other,Mobile,Paid Ads
U00180,2023-08-21,India,Ahmedabad,25-34,Female,Desktop,Paid Ads
U00181,2022-11-17,Canada,Toronto,35-44,Male,Desktop,Organic
U00182,2024-08-28,India,Delhi,18-24,Male,Mobile,Organic
U00183,2024-02-12,India,Kolkata,25-34,Male,Mobile,Social
U00184,2024-08-16,Canada,Calgary,25-34,Male,Desktop,Referral
U00185,2024-12-24,USA,New York,25-34,Male,Desktop,Referral
U00186,2024-05-10,UK,Leeds,25-34,Male,Desktop,Paid Ads
U00187,2023-01-23,Australia,Gold Coast,18-24,Male,Mobile,Organic
U00188,2023-07-16,USA,Philadelphia,18-24,Male,Desktop,Referral
U00189,2024-06-20,USA,New York,25-34,Female,Mobile,Social
U00190,2024-05-18,India,Bangalore,35-44,Male,Desktop,Social
U00191,2024-01-15,India,Bangalore,18-24,Female,Desktop,Organic
U00192,2023-01-23,Canada,Quebec City,25-34,Male,Mobile,Paid Ads
U00193,2023-06-11,USA,Phoenix,18-24,Male,Mobile,Social
U00194,2024-10-18,India,Pune,25-34,Female,Mobile,Paid Ads
U00195,2023-12-06,India,Delhi,35-44,Male,Mobile,Paid Ads
U00196,2024-07-01,USA,Los Angeles,45-60,Male,Mobile,Social
U00197,2024-10-23,USA,New York,35-44,Female,Desktop,Social
U00198,2024-10-07,UK,Leeds,25-34,Male,Tablet,Organic
U00199,2024-01-12,USA,San Antonio,18-24,Female,Desktop,Paid Ads
U00200,2024-09-20,India,Kolkata,18-24,Female,Mobile,Social
U00201,2022-04-04,USA,Phoenix,45-60,Male,Mobile,Organic
U00202,2024-05-10,Australia,Adelaide,35-44,Male,Mobile,Referral
U00203,2024-02-21,India,Hyderabad,18-24,Female,Desktop,Social
U00204,2024-12-02,UK,Bristol,18-24,Female,Desktop,Social
U00205,2023-10-09,USA,Phoenix,25-34,Female,Desktop,Organic
U00206,2024-08-10,UK,Liverpool,18-24,Female,Desktop,Organic
U00207,2023-02-20,India,Ahmedabad,35-44,Male,Mobile,Organic
U00208,2022-03-11,Australia,Perth,25-34,Male,Mobile,Paid Ads
U00209,2024-12-25,USA,Chicago,35-44,Female,Desktop,Organic
U00210,2022-09-14,Canada,Quebec City,25-34,Male,Desktop,Organic
U00211,2023-02-03,India,Kolkata,25-34,Female,Mobile,Organic
U00212,2024-06-25,UK,Birmingham,25-34,Female,Mobile,Paid Ads
U00213,2024-12-01,Canada,Ottawa,35-44,Female,Mobile,Paid Ads
U00214,2024-04-07,India,Mumbai,25-34,Male,Mobile,Paid Ads
U00215,2024-07-04,India,Delhi,25-34,Female,Mobile,Organic
U00216,2024-06-07,UK,Bristol,35-44,Male,Mobile,Referral
U00217,2023-10-16,India,Hyderabad,18-24,Female,Mobile,Paid Ads
U00218,2023-09-10,UK,Sheffield,25-34,Female,Mobile,Organic
U00219,2024-09-15,India,Hyderabad,25-34,Male,Tablet,Organic
U00220,2024-10-16,India,Pune,35-44,Male,Mobile,Organic
U00221,2024-04-06,UK,Sheffield,18-24,Female,Mobile,Organic
U00222,2024-01-04,India,Delhi,35-44,Male,Mobile,Paid Ads
U00223,2022-02-04,Germany,Munich,18-24,Male,Mobile,Referral
U00224,2024-08-24,Canada,Vancouver,18-24,Female,Mobile,Organic
U00225,2022-10-23,USA,Los Angeles,35-44,Female,Mobile,Social
U00226,2024-08-04,Canada,Ottawa,35-44,Female,Mobile,Referral
U00227,2024-02-27,Australia,Sydney,45-60,Male,Mobile,Paid Ads
U00228,2024-04-22,India,Bangalore,25-34,Female,Mobile,Organic
U00229,2023-01-22,Canada,Toronto,25-34,Female,Mobile,Paid Ads
U00230,2022-07-17,India,Kolkata,35-44,Female,Desktop,Social
U00231,2023-04-13,USA,Houston,25-34,Female,Desktop,Organic
U00232,2024-11-02,USA,Philadelphia,18-24,Male,Mobile,Paid Ads
U00233,2024-08-20,UK,Leeds,25-34,Male,Tablet,Social
U00234,2022-09-06,India,Ahmedabad,25-34,Male,Mobile,Paid Ads
U00235,2022-12-22,India,Pune,25-34,Male,Mobile,Paid Ads
U00236,2024-09-01,USA,New York,45-60,Female,Mobile,Paid Ads
U00237,2022-03-08,India,Hyderabad,35-44,Male,Desktop,Paid Ads
U00238,2024-05-18,Canada,Montreal,45-60,Female,Mobile,Social
U00239,2024-06-21,UK,Sheffield,45-60,Female,Mobile,Paid Ads
U00240,2022-06-04,India,Pune,25-34,Male,Mobile,Paid Ads
U00241,2022-10-05,India,Ahmedabad,25-34,Male,Mobile,Organic
U00242,2024-08-05,USA,New York,25-34,Male,Desktop,Referral
U00243,2023-06-15,USA,Philadelphia,45-60,Male,Desktop,Organic
U00244,2023-06-10,India,Hyderabad,25-34,Male,Mobile,Organic
U00245,2024-04-08,India,Pune,25-34,Female,Desktop,Organic
U00246,2024-07-26,India,Hyderabad,18-24,Female,Desktop,Referral
U00247,2024-08-07,India,Kolkata,25-34,Female,Mobile,Social
U00248,2024-03-12,USA,New York,25-34,Female,Mobile,Paid Ads
U00249,2023-07-25,UK,Leeds,25-34,Female,Mobile,Referral
U00250,2022-03-28,USA,Los Angeles,45-60,Male,Mobile,Referral
U00251,2024-08-11,Canada,Edmonton,18-24,Other,Desktop,Paid Ads
U00252,2024-01-13,India,Bangalore,45-60,Male,Mobile,Paid Ads
U00253,2024-01-15,USA,Chicago,18-24,Female,Mobile,Referral
U00254,2024-06-17,USA,San Antonio,45-60,Female,Mobile,Organic
U00255,2022-10-22,UK,Manchester,25-34,Female,Mobile,Paid Ads
U00256,2024-09-22,UK,London,35-44,Other,Mobile,Social
U00257,2022-12-18,UK,London,18-24,Male,Mobile,Social
U00258,2024-04-27,UK,Manchester,35-44,Male,Mobile,Organic
U00259,2022-06-08,India,Pune,45-60,Male,Mobile,Organic
U00260,2022-12-06,UK,Leeds,18-24,Male,Mobile,Social
U00261,2022-05-11,UK,Sheffield,18-24,Female,Mobile,Organic
U00262,2024-12-26,Germany,Dusseldorf,25-34,Male,Mobile,Referral
U00263,2024-01-09,UK,Leeds,18-24,Female,Mobile,Organic
U00264,2024-06-26,UK,Birmingham,18-24,Female,Mobile,Paid Ads
U00265,2024-09-05,USA,Houston,35-44,Male,Mobile,Paid Ads
U00266,2023-12-07,Canada,Toronto,18-24,Male,Desktop,Paid Ads
U00267,2023-03-22,Germany,Cologne,35-44,Male,Desktop,Organic
U00268,2024-11-27,Canada,Edmonton,45-60,Female,Mobile,Organic
U00269,2023-03-15,USA,Chicago,35-44,Female,Mobile,Paid Ads
U00270,2024-02-21,India,Kolkata,18-24,Male,Mobile,Paid Ads
U00271,2022-04-22,UK,Birmingham,25-34,Male,Desktop,Paid Ads
U00272,2024-10-04,UK,Leeds,25-34,Male,Mobile,Organic
U00273,2022-03-19,Canada,Ottawa,25-34,Male,Desktop,Organic
U00274,2024-12-13,India,Ahmedabad,25-34,Female,Mobile,Paid Ads
U00275,2024-02-01,UK,Liverpool,45-60,Female,Desktop,Organic
U00276,2024-01-01,India,Delhi,35-44,Male,Tablet,Organic
U00277,2022-03-22,UK,Leeds,18-24,Female,Desktop,Paid Ads
U00278,2024-10-14,India,Mumbai,25-34,Male,Mobile,Paid Ads
U00279,2024-06-09,UK,Liverpool,25-34,Male,Desktop,Organic
U00280,2024-09-24,India,Chennai,45-60,Female,Mobile,Organic
U00281,2024-11-12,India,Pune,45-60,Male,Mobile,Social
U00282,2024-05-18,USA,New York,25-34,Male,Mobile,Social
U00283,2024-03-09,India,Delhi,25-34,Female,Tablet,Organic
U00284,2024-05-08,UK,Manchester,25-34,Male,Desktop,Paid Ads
U00285,2024-05-14,Australia,Gold Coast,25-34,Male,Mobile,Social
U00286,2024-05-28,Germany,Dusseldorf,18-24,Female,Desktop,Referral
U00287,2022-12-09,India,Mumbai,35-44,Male,Mobile,Organic
U00288,2023-12-20,Canada,Quebec City,25-34,Male,Mobile,Social
U00289,2024-07-25,India,Pune,35-44,Male,Mobile,Paid Ads
U00290,2024-05-02,Australia,Adelaide,25-34,Female,Mobile,Organic
U00291,2024-07-01,Canada,Toronto,35-44,Male,Mobile,Social
U00292,2024-09-13,India,Bangalore,35-44,Female,Desktop,Paid Ads
U00293,2023-05-25,USA,Houston,25-34,Female,Mobile,Organic
U00294,2023-02-10,India,Ahmedabad,35-44,Male,Mobile,Organic
U00295,2024-05-08,Canada,Montreal,25-34,Female,Mobile,Social
U00296,2023-08-07,USA,Los Angeles,18-24,Female,Desktop,Social
U00297,2024-12-24,UK,Leeds,18-24,Male,Tablet,Organic
U00298,2022-04-12,USA,Houston,25-34,Female,Desktop,Social
U00299,2024-02-17,Germany,Stuttgart,18-24,Female,Mobile,Organic
U00300,2024-10-25,Australia,Canberra,35-44,Male,Mobile,Paid Ads
U00301,2024-03-12,USA,Houston,25-34,Male,Mobile,Referral
U00302,2024-09-16,UK,London,18-24,Male,Mobile,Organic
U00303,2023-09-10,Canada,Calgary,35-44,Male,Mobile,Organic
U00304,2024-08-27,Australia,Brisbane,35-44,Male,Mobile,Social
U00305,2024-08-25,India,Kolkata,25-34,Female,Desktop,Social
U00306,2023-08-12,India,Chennai,25-34,Male,Desktop,Paid Ads
U00307,2024-08-11,India,Chennai,18-24,Male,Mobile,Social
U00308,2024-08-25,USA,Philadelphia,25-34,Male,Mobile,Referral
U00309,2024-01-14,India,Delhi,45-60,Female,Mobile,Paid Ads
U00310,2024-06-22,USA,San Antonio,18-24,Male,Mobile,Organic
U00311,2024-12-20,UK,Manchester,25-34,Male,Desktop,Paid Ads
U00312,2023-09-13,USA,Chicago,45-60,Male,Mobile,Social
U00313,2024-08-02,UK,Liverpool,35-44,Female,Desktop,Organic
U00314,2024-03-27,India,Ahmedabad,25-34,Male,Mobile,Organic
U00315,2022-11-20,Australia,Brisbane,35-44,Male,Mobile,Organic
U00316,2022-01-07,Australia,Gold Coast,35-44,Male,Mobile,Organic
U00317,2023-02-01,USA,Houston,25-34,Male,Mobile,Social
U00318,2024-11-25,Australia,Canberra,45-60,Male,Mobile,Organic
U00319,2024-02-03,India,Mumbai,25-34,Male,Mobile,Social
U00320,2023-07-20,Canada,Calgary,35-44,Male,Mobile,Organic
U00321,2024-12-12,India,Delhi,45-60,Female,Mobile,Referral
U00322,2023-06-05,USA,Chicago,25-34,Male,Tablet,Paid Ads
U00323,2024-11-12,India,Pune,35-44,Female,Mobile,Organic
U00324,2024-02-03,USA,Chicago,35-44,Male,Mobile,Social
U00325,2024-08-20,India,Delhi,35-44,Other,Mobile,Paid Ads
U00326,2024-09-05,USA,San Antonio,35-44,Other,Mobile,Paid Ads
U00327,2023-07-28,India,Kolkata,18-24,Female,Mobile,Referral
U00328,2023-04-01,Canada,Quebec City,35-44,Female,Mobile,Paid Ads
U00329,2022-01-16,USA,Phoenix,35-44,Male,Desktop,Social
U00330,2024-04-09,India,Mumbai,35-44,Female,Desktop,Organic
U00331,2024-04-10,India,Ahmedabad,35-44,Male,Mobile,Social
U00332,2024-08-10,Canada,Calgary,18-24,Female,Mobile,Organic
U00333,2024-04-13,India,Mumbai,25-34,Male,Mobile,Social
U00334,2024-04-16,USA,Los Angeles,35-44,Male,Mobile,Organic
U00335,2024-02-20,USA,Phoenix,45-60,Female,Desktop,Organic
U00336,2024-12-25,India,Chennai,25-34,Male,Mobile,Referral
U00337,2024-10-04,India,Ahmedabad,25-34,Female,Mobile,Organic
U00338,2023-07-14,USA,Philadelphia,35-44,Female,Mobile,Organic
U00339,2024-04-17,India,Ahmedabad,35-44,Male,Desktop,Paid Ads
U00340,2023-11-28,India,Mumbai,35-44,Male,Mobile,Referral
U00341,2024-06-05,India,Hyderabad,18-24,Male,Desktop,Social
U00342,2024-03-13,India,Pune,35-44,Female,Mobile,Organic
U00343,2023-07-25,India,Bangalore,35-44,Other,Desktop,Social
U00344,2024-06-03,Germany,Hamburg,35-44,Female,Mobile,Paid Ads
U00345,2024-03-05,USA,Houston,35-44,Female,Desktop,Referral
U00346,2023-04-16,Canada,Edmonton,25-34,Male,Desktop,Paid Ads
U00347,2022-10-19,India,Ahmedabad,45-60,Male,Mobile,Paid Ads
U00348,2024-05-28,India,Delhi,35-44,Male,Mobile,Paid Ads
U00349,2024-09-19,Canada,Toronto,25-34,Female,Mobile,Paid Ads
U00350,2024-06-17,USA,Philadelphia,45-60,Male,Mobile,Social
U00351,2024-04-18,India,Hyderabad,45-60,Female,Mobile,Organic
U00352,2024-11-18,USA,Philadelphia,35-44,Female,Desktop,Organic
U00353,2024-11-25,USA,Los Angeles,25-34,Male,Desktop,Organic
U00354,2024-07-23,Canada,Montreal,25-34,Male,Mobile,Paid Ads
U00355,2024-02-08,India,Mumbai,25-34,Male,Mobile,Organic
U00356,2023-04-18,USA,Phoenix,25-34,Female,Mobile,Organic
U00357,2023-05-09,UK,Liverpool,25-34,Male,Mobile,Referral
U00358,2022-04-19,Germany,Berlin,25-34,Male,Mobile,Organic
U00359,2024-04-10,Canada,Vancouver,25-34,Female,Desktop,Referral
U00360,2024-11-02,India,Delhi,45-60,Male,Desktop,Referral
U00361,2024-09-28,UK,Liverpool,25-34,Male,Desktop,Social
U00362,2023-11-17,UK,London,25-34,Female,Mobile,Organic
U00363,2023-02-25,UK,Sheffield,25-34,Female,Mobile,Organic
U00364,2022-06-24,Canada,Quebec City,18-24,Female,Mobile,Referral
U00365,2023-08-13,Australia,Melbourne,45-60,Male,Mobile,Referral
U00366,2024-08-28,India,Ahmedabad,25-34,Male,Mobile,Referral
U00367,2023-11-11,India,Pune,35-44,Female,Mobile,Referral
U00368,2024-07-16,Canada,Ottawa,35-44,Male,Mobile,Organic
U00369,2024-10-20,India,Pune,25-34,Female,Mobile,Paid Ads
U00370,2023-11-07,India,Kolkata,25-34,Male,Mobile,Social
U00371,2024-04-28,USA,San Antonio,18-24,Male,Mobile,Organic
U00372,2024-07-03,Canada,Calgary,25-34,Male,Mobile,Paid Ads
U00373,2023-10-16,India,Ahmedabad,25-34,Female,Desktop,Organic
U00374,2024-06-19,UK,Manchester,35-44,Female,Mobile,Organic
U00375,2024-11-20,India,Ahmedabad,25-34,Male,Mobile,Organic
U00376,2024-06-16,India,Bangalore,18-24,Female,Desktop,Organic
U00377,2023-02-02,India,Kolkata,18-24,Male,Mobile,Paid Ads
U00378,2024-08-14,India,Hyderabad,35-44,Male,Desktop,Paid Ads
U00379,2024-08-26,Canada,Ottawa,25-34,Male,Mobile,Organic
U00380,2023-11-20,Canada,Ottawa,18-24,Male,Mobile,Social
U00381,2024-07-10,UK,Sheffield,35-44,Male,Mobile,Social
U00382,2024-11-19,India,Bangalore,18-24,Male,Mobile,Organic
U00383,2024-09-24,USA,San Antonio,25-34,Male,Desktop,Organic
U00384,2023-08-11,India,Delhi,25-34,Male,Mobile,Organic
U00385,2024-09-18,India,Pune,45-60,Male,Desktop,Social
